,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)"
0xe1e311,,,,,,,,69.07070821129433,72.84615901012398,,,,,68.64796864524257,,
0xe1e34d,,,1.1664,,,,,0.0,80.82503582807819,,,,,,,
0xf2338c,,3.6,6.48,,,,,,89.28142966652342,,,,,,,
0x1b56bea,,,,,,,,,99.87620599607146,,,,,,,
0xe1e26e,,,,,,,,11.993872268676574,59.89705033715768,,,,,26.707242421343874,,65.43129706433542
0x1721499,,,67.40277991654409,,,,,0.0,,,,0.0,,,,13.513093653384649
0x1712e93,,,64.90561963094551,,,,,0.0,,,,,,0.0,,
0x1a1ef89,,,,69.10993935253964,,,,,,,,,,16.272,,
0x1a1eed2,,,,73.7856,,,,,,,,,,,,
0x17213b2,,,87.95652185355053,,,,,33.48870313480733,,,,,,,-73.53119060496783,
0x1406cb5,,,,,,,,,,,,36.0,9.36,,99.99999984822901,34.713516754509754
0x188b0,,,,,,,,45.09977139446121,,,,,,64.91218169232158,,
0x3249a6,,-49.50776420059504,,,,,,,47.6818193844097,,,,,87.21062838559732,,
0x27abf34,,,,,0.0,,,,0.0,,,,0.0,0.0,,
0x27ac6de,,,,,0.0,,,,,,,,3.6,,,
0x27ac414,,,,,36.0,,,,,,,,,,,
0x11d9e2,,-66.23697394392575,,,,,,,43.82821101056242,,,,,72.89432400935398,,
0x11e1b0,,-3.6,2.304,,,,,,,,,,,79.55504569418993,,
0x2f5921,,,,,,,,,,,,,,36.0,,
0x7d656,60.755827427856026,,7.598969566032862,,,,,64.90711248271005,14.87591421265248,,,,,,,
0x30620b,0.0,,,,,,,20.7557206373032,0.0,,,,,,,
0x10a6ec6,,,,,,,,0.0,0.0,,,,,0.0,,
0x10a6f02,,,,,,,,0.0,0.0,,,,,,,
0x1b2f500,,,,,,,,36.0,,,,,,,,
0x205aff,,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,
0x21f3b4e,,,,0.0,,,,,0.0,,,0.0,,,0.0,
0x28fe45e,,,,,,,,,,,,0.0,,,,
0x290ce43,,,,,,,,,,,,,,,-20.0,
0x1b85158,,0.0,,0.0,,,,0.0,,,,,,,,
0x27a0947,,,,0.0,,,,0.0,,,,,,,,0.0
0x27a094e,,,,0.0,,,,0.0,,,,,,,,
0x27f3f97,,,,,,,,,-20.0,,,,0.0,,,
0x17213eb,,,-87.71714456641088,,,,,-87.8692090723093,,,,,,,,
0x150bd83,,,,,,,,-99.99999990286656,,,,-99.99999990286656,,,,
0x946d4c,0.0,,0.022672010369433608,,,,,,,,,,,,,
0xabc1c8,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.9046086276706319
0x14e3d7f,,,,,,,,,,,,0.0,,,0.0,0.0
0x14e3e22,,,,,,,,,,,,,,,64.68947855179776,
0x1548bd1,,,,,,,,,,,,,97.18525023289344,,,
0x16e720d,,,72.50590380578188,,,,,70.69060983495127,,,,,,64.06171312662622,,
0x1441906,,,,,,,,72.88867767370537,80.99999999999993,,,,,80.51269497870219,,
0x1443256,,,,,,,,,80.99999999999993,,,,,63.383970053890515,,
0x1409f80,,,,,,,,,,,,,,89.99999999999994,,
0x1409cad,,,,99.99999999999997,,,,,,,,,,,,
0xfa698f,,,,,,,,,0.0,,,,,,0.0,0.0
0x18a9bba,,,,,,,,,,,,0.0,,,-3.6,0.0
0x18a9985,,,,0.0,,,,,,,,,,,0.0,
0x1926893,,,,,,,,,,,,,,,0.0,
0x19267a3,,,,,,,,,,,,,48.8,,,
0x199c8,,,,,,,,-58.35083500452123,,,,,,,,-59.71563542270774
0x32f3e2,-0.6480000000000001,0.0,,,0.0,,,,,,,,0.0,,,-1.5811199999999999
0x123eca9,,-6.48,,,,,,,,,,,0.0,,,
0x1213137,,0.0,,,,,,,,,,,,,,20.0
0x16e7206,,,63.08024277052334,,,,,21.83731307491221,,,,,,7.845735477279586,,65.18100599141741
0x17edd2a,,,0.0,,,,,,,,,,,0.0,,20.260866551508393
0x1548423,,,,,,,,,0.0,,,,,0.0,0.0,0.0
0x153ae99,,,,,,,,,,,,,0.0,,0.0,0.0
0x153aea0,,,,,,,,,,,,,20.0,,,
0x332725,0.0,0.0,,,,,,-0.10057955328000001,,,,,,,,
0x27a196b,,,,-3.6,,,,-3.6,,,,,,,,
0x27a33b4,,,,-36.0,,,,,,,,,,,,
0x2876d91,,,,,,,,,,,,,20.0,,,
0x7d6b5,,0.0,,,,,,-2.2224218572800005,,,,,,,,0.0
0x7d6b3,0.0,0.0,0.0,,,,,0.0,,,,,,,,
0x306175,0.0,0.0,,,,,,,0.0,,,,,,,
0x10a6ecc,,,,,,,,0.0,0.0,,,,,,,
0x1b2f4ca,,,,,,,,6.48,,,,,,,,
0x1b1d99b,,,,,,,,,,,,,48.8,,,
0x947ff4,,,,,0.0,,,,,,,,,,,0.0
0x9600a2,,,,,,,,,,,,,,,,0.0
0xa68424,,,0.0,,,,,,6.48,,,,,,,
0x25f2b32,,,48.8,,,,,,,,,,,,,
0x174bfb3,,,63.33516662925534,,,,,72.65228475588508,42.439643401144764,,,,,,,
0x174d9fc,,,72.89999894128819,,,,,,80.0420665358614,,,,,80.99999999999993,,
0x174d90f,,,89.99999999999994,,,,,,89.99999999999994,,,,,,,
0x1722dd5,,,99.99999999999997,,,,,,,,,,,,,
0x7d755,72.80294513325781,68.34643109064547,18.180193033359313,,,,,69.9400578247129,,,,,,,,
0x4ffd3b,,,80.99972347605762,,,,,72.32319849095042,,,,,,,,
0x604d7a,,,74.39368622288339,,,,,,,,,,,,,
0x28f888c,,,,,,,,,,,,,99.99999999999997,,,
0x16ead43,,,0.0,,,,,,,,,0.0,,,,0.0
0x144543c,,,,,,,,,,,,0.0,,,0.0,0.0
0x1440c9f,,,,-20.0,,,,,,,,,,,,
0x14c0fe4,,,,,,,,,,,,,,,20.0,
0x188e8,,,,,,,,0.0009233786610993073,,,,,,,,0.0
0x154c2,,,,,,,,,-0.6480000000000001,,,,,,,0.0
