,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)"
0x143e4c8,,,,-73.7856,,,,,,,,,,,,
0xe1e218,,-73.16514999428973,,,,,,,,,,,,,-73.05941811042528,
0xe1e03e,,,,,,,,,-79.94356599773951,,,,-80.17288478757858,,,
0xe1aec7,,-3.6,,-20.87999999999998,,,,,,,,,,,,
0x10a3a7c,,-99.87620599607146,,,,,,,,,,,,,,
0xdf36fe,,-67.88732912636391,,,,,,,,,,,,,,
0x1712cfe,,,,,,,,,,,,-29.159999999999986,,,,
0x170fb00,,,-95.70320406223138,-89.99999885766408,,,,,,,,,,,,
0x1a1ebc3,,,,,,,,,,,,,-73.7856,,,
0x17210c7,,,,,,,,,,,,,-72.95060163046678,-73.34593386889253,-66.98345041780253,-71.02000363684178
0x1403880,,,,-88.602065996186,,,,-85.996859361261,,,,-81.10118216720814,,,,
0x14068ec,,,,,,,,,,,,,,,,-99.99999987858321
0x1551d,-36.982702738754654,-72.72909593413544,-73.50909622941495,-71.5373373902372,,,,,,,,,,,,
0x7af83c,-3.6,,,46.5936107262081,,,,,-3.4473600000000006,,,,,,,
0x27ac3f3,,,,,0.0,,,,,,,,,-36.0,,
0x11dea1,,,,,-72.77392047071885,,,,,,,,-57.31675221317114,,,
0x29e8a0,,-3.6,,,-3.6,,,,,,,,,,,
0x2f564e,,-36.0,,,,,,,,,,,,,,
0x187b7,,-63.461199796357874,,,-69.07154757897743,,,,,,,,,,-61.01210161902894,
0x1fdd46,,-5.093674901484631,,-7.766449189572623,,,,-4.779959191374788,,,,,,,,
0x10a6dcd,,0.0,,,,,,,,,,,,,0.0,
0x10a6bf3,,0.0,,,,,,,0.0,,,,0.0,,,
0x107c392,,-20.0,,,,,,,,,,,,,,
0x1fdada,,,,,,,,0.0,0.0,,,,,0.0,0.0,
0x686fcf,0.0,,,,,,,,0.0,,,,,,0.0,
0x21e5d30,,,,0.0,,,,,,,,,,,0.0,
0x28fe3bc,,,,,,,,,,,,,,20.0,0.0,
0x185d9,0.0,,,,0.0,,,,55.277321848154536,,,,-0.0005909623431035566,,,
0x2006628,,,0.0,,0.0,,,,0.0,,,,0.0,,,
0x27a0855,,,,,0.0,,,,0.0,,,,0.0,,0.0,
0x279d4c8,,,,,0.0,,,,0.0,,,,0.0,,,
0x27f4549,,,,,,,,,,,,,0.0,,,
0x27f4e13,,,,20.0,,,,,,,,,,,,
0x17210dc,,,,,,,,-16.0,,,,,69.17076801876325,,,0.0
0x14038b9,,,,1.4022448953753606,,,,-3.6,,,,-3.6,,,,78.9040371868642
0x14038be,,,,89.90701287294331,,,,-22.907519999999998,,,,0.0,,,,
0x1508a41,,,,,,,,,,,,99.99999999999997,,,,
0xab8d93,,,,0.0,,,,-0.6480000000000001,,,,0.0,,,,
0x13db8ba,,,,0.0,0.0,,,,,,,,,,,
0x14e3c8d,,,,,0.0,,,,,,,0.0,,,0.0,
0x14df04f,,,,,-86.5782272,,,,,,,,,,,
0x16e7078,,,,,-71.42265954401802,,,,,,,-73.75541411938842,,,,
0x13dca67,,,,,-81.47408135269568,,,,,,,,,,,
0x1409c71,,,,,,,,,,,,,-99.99999999999997,,,
0xf7be1f,,0.0,,,,,,,,,,,,,,
0x18a983f,,,,0.0,,,,,,,,,0.0,,0.0,-20.0
0x16593,,-0.0387819037661709,0.0,59.43806061661826,,,,,,,,,,,,
0x10cffa4,,0.0,,0.0,,,,,,,,,,,0.0,
0x11d9e0a,,0.0,,,0.0,,,,,,,,,,0.6480000000000001,
0x121303e,,,,,,,,,,,,,,,0.0,-20.0
0x1204999,,-20.0,,,,,,,,,,,,,,
0x16e3ec4,,,-21.17208850811718,-20.862744989327638,,,,,,,,,,,,
0x14e3584,,,,,0.0,,,,,,,,,,,
0x1539aaa,,,,,,,,,-20.0,,,,-3.6,,0.0,
0x153ada7,,,,,,,,,,,,,,,-20.0,
0x198d6,,-0.9599020119097343,0.0,,0.0,,,,,,,,,,54.35118165547064,
0x7b391c,0.0,,,,0.0,,,,,,,,0.0,,0.0,
0x279e5d8,,,,,,,,,,,,,,,0.0,
0x28202c2,,,,,-20.0,,,,,,,,3.6,,,
0x1853d,0.0,,,,0.020995200000000006,,,,-0.27208851699187103,,,,42.33437403357584,,,
0x1fdcb0,,,,0.0,,,,0.0,,,,0.0,,,,
0x10a6d37,,0.0,,,,,,,,,,0.0,,,,
0x107c35c,,-20.0,,,,,,,,,,,,,,
0x94317c,,,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
0x960063,0.0,,-3.6,0.0,,,,,,,,,0.0,,,
0x95ff5f,,,-9.36,-6.48,,,,,,,,,,,,
0xa689d6,-48.8,,,,,,,,,,,,,,,
0x174d903,,,,,,,,,,,,,,,-81.30576917889867,
0x1722ac6,,,,,,,,,,,,,-89.99999999999994,,,
0x14052a3,,,,-99.99999999999997,,,,,,,,,,,,
0x7d5c0,,,,,,,,,,,,-68.70847665331974,,,,
0x4fe94c,-81.618779332414,,,,,,,,-80.32672169226718,,,,-81.48206917416219,,,
0x4fc8b5,,,-74.98836774597429,-74.39368622288339,,,,,,,,,,,,
0x78546a,-99.99999999999997,,,,,,,,,,,,,,,
0x16e790e,,,,,0.0,,,0.0,,,,0.0,,,0.0,
0x13e059d,,,,,0.0,,,,,,,,,,,
0x14403de,,,,,,,,,,,,,0.0,,0.0,0.0
0x14c0eef,,,,,,,,,,,,,,,3.6,-20.0
0x154b3,,-0.5272128000000001,,0.0,,,,,,,,,,,0.0,
0x15472,,-0.6480000000000001,0.0,0.0,,,,,,,,,,,,
0x324ead,,-6.48,,,0.0,,,,,,,,,,,
0xc6af90,0.0,,,0.0,,,,,,,,,,,,
0xd73455,20.0,,,,,,,,,,,,,,,
0x170f9eb,,,,-59.54824987028334,,,,,,,,-58.709105260403696,,,,
0x1508a27,,,,,,,,,,,,-36.507681792,,,,
0x150a46b,,,,,,,,,,,,,,-91.41006540800001,,
0x14038a4,,,,-98.28149045890135,,,,,,,,-81.28030480103992,,,,
0x150ba99,,,,,,,,,,,,,,,-89.59880211967464,
0x1506e16,,,,,,,,-99.99999999999997,,,,,,,,
0xac859e,,,,-11.990592000000001,,,,,,,,,,,,
0xd563e8,,,,,,,,,,,,,-74.95868093202432,,,
0xd6e48d,-96.4815627911168,,,,,,,,,,,,,,,
0x943777,,,-17.41951063349947,,-15.30054889537536,,,,,,,,,-16.0,,
0xc6ad62,0.0,,,,,,,,,,,,,-20.0,,
0x27d77f4,,,,,,,,,,,,,17.956478670493876,,,
0x28034b0,,,,99.99999999996848,,,,,,,,,,,,
0x1af4ff9,,,,,0.0,,,,77.21992973662877,,,0.0,,,-1.0744828011675651,
0x1b047b8,,,,,,,,,,,,0.0,,,0.0,99.99976054757174
0xdf360c,,-14.644799999999988,,,,,,,,,,-14.403773127013173,,,,
0x170f9bc,,,0.0,0.0,,,,,,,,0.0,,,,
0x140a08e,,,,0.0,,,,,,,,,,,,
0x150ef3e,,,,,,,,,,,,,-99.94929397599087,,,
0xabbf0a,0.0,,,0.0,0.0,,,,,,,0.0,,,,
0x13e0381,,,,,0.0,,,,,,,,,,,
0x1440444,,,,,,,,,,,,,,,,-20.0
0x4fc982,0.0,,0.0,0.0,,,,,,,,,,,,
0x205aa95,,,0.0,0.0,,,,,,,,0.0,,,0.0,
0x205ad7d,,,0.0,0.0,,,,,,,,0.0,,,,
0x215e5b0,,,20.0,,,,,,,,,,,,,
0x2f8071,,0.0,,,,,,,,,,,0.0,,-0.37791360000000007,
0xd997f4,,,,,,,,,,,,0.0,0.0,0.0,0.0,
0xd9e52e,,,,,,,,,,,,,0.0,0.0,,0.0
0x1b23d92,,,,,,,,,,,,,20.0,0.0,,
0xfa386,,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,
0xfb685,,0.0,,,,,,0.0,,,,,,,,0.0
0xfe709,,0.0,,,,,,,,,,,,,,0.0
0x57fcce,0.0,,-20.0,,,,,,,,,,,,,
0x19f2f8a,,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,
0x19f4329,,,,,0.0,,,,,,,,,,0.0,
0x1a2d55d,,,,,,,,,,,,,,,-20.0,
0x3a1634,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,,
0x1f0e160,,,,,,,,,-20.0,,,,,,,
0xdf3617,,0.0,,,,,,0.0,,,,0.0,,,0.0,
0xdf6776,,0.0,,,,,,,,,,,0.0,,,0.0
0xf77082,,0.0,,0.0,,,,,,,,0.0,,,,0.0
0xf77125,,-20.0,,0.0,,,,,,,,,,,,
0x1436ca1,,,,,,,,,,,,0.0,0.0,,0.0,
0x14328d0,,,,0.0,,,,,,,,,,,,
0x153ad95,,,,,,,,,,,,,,,36.0,
0x140836d,,,,,,,,,,,,,-79.79848155826544,,,
0x140533a,,,,-99.9769891603237,,,,,,,,,,,,
0x150d43c,,,,,,,,,,,,89.99748347018875,,,-73.7856,
0xe1f2c1,,14.322052145210044,89.99237096145315,,,,,,,,,0.0,,,0.0,
0xe1c114,,0.0,0.0,0.0,,,,,,,,,,,,
0xf25caa,,,0.0,,,,,,,,,,,,0.0,
0x16bffc9,,,,,,,,,,,,,,,20.0,
0x1fdd48,,0.0,,0.0,,,,0.0,,,,,,,,0.0
0xfa692f,,0.0,,,,,,,,,,,,0.0,,
0x189b1d8,,,,0.0,,,,,,,,,0.0,0.0,,
0x189b4c4,,,,-20.0,,,,,,,,,,,,
0x16e7932,,,,,63.78952591455481,,,,,,,-41.16786616793814,,,-23.581371780259524,
0x143dbd3,,,,2.713918602608641,,,,-27.261238722586313,,,,-16.6291453550592,,,,76.4067203533268
0x142f3ef,,,,0.0,,,,-6.48,,,,,,,0.0,
0x1440cea,,,,0.0,,,,,,,,,,,,0.0
0x1440deb,,,,20.0,,,,,,,,,,,,
0x1440f66,,,,0.0,,,,,,,,,,-20.0,,0.0
0xabdbf9,0.0,,,0.0,-10.714784177244379,,,,,,,,,,,
0xd4346c,0.0,,,,,,,,,,,,,,,
0x28ccd3d,,,,,,,,,,,,,0.0,,,
0x28f8636,,,,,,,,,,,,,,,0.0,20.0
0x324862,,0.0,,,0.0,,,,-0.107495424,,,45.64914017556745,,,,
0x10d4be3,,-3.6,,,-3.0326400000000007,,,,,,,-0.6480000000000001,,,,
0x1139a88,,,,,,,,,,,,-18.1152,,,,
0x110dfb2,,,,-20.0,,,,,,,,,,,,
0xe1af2c,,-6.920515879673853,-7.458758051512321,-7.203753226878254,,,,,,,,,,,,
0x1129ff2,,,,,,,,,-2.2032000000000003,,,,-1.6848000000000003,,,
0x10ff4c1,,-21.8016,,,,,,,,,,,,,,
0x149a1da,,,,,,,,,,,,-79.02848,,,,-73.7856
0x7db6c,,,,,,,,,,,,,-43.28224446248766,-37.94497318645808,,
0xdf361e,,-54.57932568136946,,,,,,-55.3240111104,,,,-53.28035158641956,,,,
0x17213c8,,,,,,,,,,,,-84.03404059657929,,,,
0x179e192,,,-99.98338465005268,,,,,-99.98338465005268,,,,,,,,
0x324eee,,,,0.0,0.0,,,,,,,,,,0.0,
0x815746,0.0,,,0.0,,,,,,,,,,,,
0x2803795,,,,20.0,,,,,,,,,,,,
0x11f0fd,70.86442023142999,,,,34.98654826704508,,,,0.0,,,,34.80325643049764,,,
0x1203fa,,0.0,0.0,,0.0,,,,,,,,,,0.0,
0x1204f3,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,,
0x120532,20.0,0.0,0.0,,0.0,,,,,,,,,,,
0xfa688f,,0.0,,,,,,,,,,0.0,,0.0,,
0x189b138,,,,0.0,,,,,,,,,0.0,0.0,,
0x1b23ced,,,,,,,,,,,,,-20.0,0.0,,
0x1b323fc,,,,,,,,,,,,,59.04,,,
0x11d5cd,,,,,0.0,,,,,,,0.0,0.0,,,
0x182cf7,,,,,,,,,,,,0.0,0.0,,,0.0
0x605c0a,,,,,,,,,,,,,0.0,,,
0x786e9d,3.6,,,,,,,,,,,,,,,
0x28fa2bf,,,,,,,,,,,,,,,,36.0
0x164f7,,0.0,-3.6,0.0,,,,,,,,-6.864444964951531,0.0,,,
0x16546,,-83.3537625412247,-87.86717474179689,-59.723763984877394,,,,,,,,,,,,
0x1b81ff6,,0.0,,0.0,,,,,,,,,,,,0.0
0x1b9eb64,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,
0x1bcaf8b,,0.0,0.0,0.0,,,,,,,,,0.0,,,
0x1cd010e,,0.0,0.0,,,,,,,,,,0.0,,,
0x2774bd3,,,,,,,,,,,,,20.0,,,
0xe01aca,,,,,,,,,,,,,0.0,0.0,,
0xf78b03,,0.0,,,,,,,,,,,,,,
0x18a17f2,,,,0.0,,,,0.0,,,,0.0,,0.0,,
0x1926725,,,,,,,,,,,,0.0,,-20.0,,
0x1b81ffc,,0.0,,0.0,,,,,,,,,,,,0.0
0x1e0c552,,0.0,,,,,,,,,,,,,,0.0
0x28b62ac,,,,,,,,,,,,,0.0,,0.0,0.0
0x28b63a1,,,,,,,,,,,,,0.0,,,
0x28b66b0,,,,,0.0,,,,,,,,,,3.6,
0x28b66bf,,,,,36.0,,,,,,,,,,,
0x18763,,0.0,,,0.0,,,81.26069095251773,,,,0.0,,,,
0x7dbb4,,,,,,,,0.0,,,,,,,,
0x5024b9,0.0,,,,,,,,,,,,,,,
0x21e5d62,,,,20.0,,,,,,,,,,,,
0x179e0ca,,,70.42694514377588,,,,,-23.6448,,,,-4.691520000000001,,-4.5072,,
0x148a000,,,,,,,,,,,,,-23.6448,,,
0x1486c04,,,,,,,,,,,,,,-67.232,,
0x16e6f36,,,,,-13.556491139786344,,,,-14.372736321208322,,,,-11.867759000187572,,,
0x16e7153,,,,,-28.116265403842565,,,,,,,,,,-21.051614872353422,
0x13dcaaf,,,,,-61.61416340144128,,,,,,,,,,,
0x187f6,,-0.11664000000000004,,,0.0,,,,,,,,,,0.0,
0x946b43,,,,,0.0,,,,,,,,,,0.0,
0xabd96f,0.0,,,0.0,0.0,,,,,,,,,,,
0xd43191,-20.0,,,,0.0,,,,,,,,,,,
0x185dd,-77.50614045992592,,,,-71.83978980503568,,,,-73.80472563612662,,,,-72.92921170621858,,,
0x1c0206a,,-2.2032000000000003,-23.6448,,,,,53.1507338925523,-4.691520000000001,,,,,,,
0x1d8a68c,,66.79674777877426,,,,,,,0.0,,,,,,,
0x26a0c43,,,,,89.68243304955034,,,,,,,,-36.0,,,
0x2705ae2,,,,,,,,,,,,,99.99149294082697,,,
0x946ab8,,,,,0.0,,,,,,,,0.0,0.0,,0.0
0x16e7989,,,,,0.0,,,,,,,,,,,
0x143dc2a,,,,0.0,,,,0.0,,,,,,,,0.0
0x142f3a6,,,,-20.0,,,,0.0,,,,,,,,
0x143e521,,,,0.0,,,,,,,,,,,,
0x1541d54,,,,,,,,,,,,,,,,0.0
0x154348a,,,,,,,,,-20.0,,,,,0.0,,
0x11d89e,,-0.8959818240000004,,,0.0,,,,,,,0.14676708556800003,,,,
0xa636a8,,,0.0,,,,,,,,,0.0,,,,
0xa69bee,3.6,,,,,,,,-9.36,,,,-20.0,,,
0xa6a76d,-48.8,,,,,,,,,,,,,,,
0x1fedd9,,,,0.0,,,,0.0,,,,0.0,,0.0,,
0xf73d2a,,0.0,,0.0,,,,0.0,,,,0.0,,,,
0x18a1ac5,,,,0.0,,,,0.0,,,,0.0,,,,
0x18a9862,,,,20.0,,,,,,,,,,,,
0x946b04,,,,,,,,,,,,,-18.543121880708917,-17.014859358925214,-23.655090051785393,
0xabd927,0.0,,,0.0,0.0,,,,,,,,-3.6,0.0,,
0xb22aa5,,,,-20.0,,,,,,,,,0.0,,,
0xb24bc3,,,,-89.26258176,,,,,,,,,,,,
0x1fdb81,,0.0,,,,,,0.0,0.0,,,,,0.0,,
0x1f004e,0.0,0.0,,0.0,,,,0.0,,,,,,,,
0xb9f701,,,,,,,,-20.0,,,,,,,,
0x16e7114,,,,,-73.85411665213873,,,,,,,,,,-73.41163154972642,
0x172116a,,,,,,,,,,,,,-80.6394972768547,-53.72523821008513,-80.46704043676334,
0x1403923,,,,-77.38418439341554,,,,-97.18525023289344,,,,,,,,
0x94873f,,,,,,,,,,,,,,,0.0,
0x16e9307,,,,,-43.040000000000006,,,,,,,,,,,
0xd432e9,,,,,,,,,,,,0.0,,,0.0,
0xd49a10,,,,,-6.48,,,,,,,,,,6.48,
0xd49b18,59.04,,,,-20.0,,,,,,,,,,,
0x1b8501a,,,,,0.0,,,,,,,,0.0,,,0.0
0x2057ffd,,,0.0,,,,,0.0,,,,,0.0,,,0.0
0x205803c,,,0.0,0.0,,,,0.0,,,,,,,,0.0
0x287403f,,,,,,,,0.0,0.0,,,,,,,
0x2883ad7,,,,,,,,0.0,,,,,,,,
0x288bafc,,,,,,,,,,,,,,,,20.0
0x1efe97,,-14.685966397735491,,0.0,,,,0.0,,,,0.0,0.0,,,
0x150ba6f,,,,,,,,-3.6,,,,,50.07027658522186,,,0.0
0x150edb2,,,,,,,,,,,,,-79.02848,,,
0x11f31a,,-1.1664,,,-1.912896,,,,,,,,,,66.91154430689281,
0x18476b,,,,,,,,,,,,,,,-23.906534400000005,
0x2fb870,0.0,0.0,,,,,,,,,,,,,,
0x1e683ef,,20.0,,,,,,,,,,,,,,
0x1b8255b,,,-16.44966144,,57.536403391850236,,,,,,,,,-7.219008,,
0x1e919ea,,,,,,,,,,,,,-3.6,,,
0x1ea9a8f,,,,-36.0,,,,,,,,,,,,
0xf9e94a,,-82.54203901707446,,-83.86718073677706,,,,-82.83026939322616,,,,,,,,
0x18d2d18,,,,-98.55884811924145,,,,,,,,,,,,
0x16e3e10,,,,0.0,,,,,,,,,,,0.0,
0x14de7ed,,,,,0.0,,,,,,,,,,0.6480000000000001,
0x14dedae,,,,,9.36,,,,,,,,,,,
0x1549494,,,,,,,,,,,,,,,,59.04
0x1b81f60,,,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
0x23126d3,,,,,0.0,,,,0.0,,,,0.0,,,
0x230dd59,,,,0.0,,,,,0.0,,,,,,,
0x24166dd,,,,,0.0,,,,,,,,,,,0.0
0x247c0e0,,,,,,,,,,,,,,,,20.0
0x947efb,,,,0.0,,,,,,,,,,,0.0,0.0
0x948460,,,,,,,,,,,,,-63.54306308369675,,,
0x16e9331,,,,,-85.17860786977941,,,,,,,,,,,
0x143f5d2,,,,-99.99999723930146,,,,,,,,,,,,
0x1fee65,,0.0,,0.0,,,,0.0,,,,,,,,
0xb24b8a,,,,0.0,,,,,,,,,,,0.0,
0x1435bd9,,,,,,,,,,,,,-20.0,,,
0x143ca8e,,,,-86.91815226938714,,,,-80.56275250567872,,,,-73.93204012194221,,,,
0x143c965,,,,,,,,-36.0,-9.36,,,,,-9.36,,
0x14bfea6,,,,,,,,,-99.99999999999997,,,,,-99.99999999999997,,
0xab8db7,,,,71.2370980919806,0.31014064572839417,,,,,,,-44.6970714865711,,,,
0xd4637f,,,,,80.5527447858841,,,,,,,,,,45.80929443338801,
0xd4638f,,,,,0.0,,,56.177132544,,,,,,,,
0xd49722,,,,,89.26258176,,,,,,,,,,,
0x112a08e,,,,0.0,,,,,0.0,,,,0.0,,0.0,
0x112b42d,,0.0,,,,,,,,,,,,,0.0,
0x10ff8bb,,-20.0,,,,,,,,,,,,,,
0xdf379a,,-71.90439166590355,,,,,,,,,,,,,,
0x170fb4a,,,0.0,0.0,,,,,,,,,,,,
0x148bb35,,,,,,,,,,,,,,,-20.0,
0x1b81e28,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,
0x1b820c3,,,0.0,0.0,,,,,,,,,,,,
0x231c3e2,,,,0.0,,,,,,,,,,,,
0x2424d66,,,,,,,,,,,,,,,-20.0,
0x17ec203,,,,,0.0,,,,,,,0.0,0.0,,,
0x1541c19,,,,,,,,,,,,0.0,0.0,,,0.0
0x1508af5,,,,,,,,,,,,0.0,-20.0,,,
0x1ea9320,,0.0,,0.0,,,,,0.0,,,,,,,
0x1fae3b3,,0.0,,,,,,,0.0,,,,,0.0,,0.0
0x243e021,,,,,,,,,0.0,,,,,0.0,,
0x243e036,,,,,,,,,20.0,,,,,,,
0x8b793b,75.86452669902357,,,,-13.281408000000003,,,,0.0,,,,0.0,,,
0x8b81fc,89.72397573741158,,,,-20.0,,,,,,,,,,,
0x28a624b,,,,,99.99999999999471,,,,,,,,,,,
0x150f118,,,,,,,,,,,,,,-86.0491150892799,-86.54930964839495,
0x150a171,,,,,,,,,,,,,-99.97403851570732,,,
0x142e481,,,,-80.97181003784038,,,,-80.96767953836572,,,,,,,,
0x150bafd,,,,,,,,,,,,,-92.11422031730976,,-89.99605546016794,
0x1d05759,,45.33792678515714,,,,,,-12.8,-16.44966144,,,,,,,
0x2187e32,,,,-44.70151680000001,,,,,,,,,,,,
0x28a1dbd,,,,,,,,,,,,,-83.222784,,,
0x1eff7a,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,,
0x2f816f,0.0,0.0,,,,,,,,,,,0.0,,0.0,
0x22e61be,,,,,,,,,,,,,0.0,,0.0,
0x22e143f,,,,,,,,0.0,,,,,20.0,,,
0x1c02066,,0.0,0.0,,,,,0.0,0.0,,,,,,,
0x1c04d03,,0.0,,,,,,,,,,,,,,0.0
0x2524137,,,,,,,,,,,,,,,,-20.0
